png_file,predict_angle
29509403.png,0.0070379507
29509404.png,0.00738761
29509405.png,0.008346753
29509406.png,0.007610542
29509407.png,0.006505359
29509408.png,0.005551317
29509409.png,0.004169231
29509410.png,0.0037602377
29509411.png,0.0039209267
29509412.png,0.0038010487
29509413.png,0.0042148503
29509414.png,0.0046443036
29509415.png,0.003837837
29509416.png,0.004050848
29509417.png,0.004580441
29509418.png,0.004169195
29509419.png,0.0047557754
29509420.png,0.0056745727
29509421.png,0.0039521893
29509422.png,0.0030768858
29509423.png,0.002326001
29509424.png,0.0027106479
29509425.png,0.002449777
29509426.png,0.0011506588
29509427.png,3.7944876e-05
29509428.png,-2.5957124e-05
29509429.png,-0.00031737192
29509430.png,-0.0008338193
29509431.png,-0.000573416
29509432.png,0.0010701646
29509433.png,0.0033130674
29509434.png,0.007126429
29509435.png,0.008257452
29509436.png,0.007263365
29509437.png,0.008608096
29509438.png,0.011967695
29509439.png,0.016119478
29509440.png,0.018990336
29509441.png,0.016368303
29509442.png,0.018841257
29509443.png,0.017128622
29509444.png,0.009618602
29509445.png,0.0071308073
29509446.png,0.00521448
29509447.png,0.0025825286
29509448.png,0.0010469304
29509449.png,0.0005047438
29509450.png,0.00091307424
29509451.png,0.0013923952
29509452.png,0.00037547667
29509453.png,-0.0002950756
29509454.png,0.0004720362
29509455.png,0.0008266056
29509456.png,0.0022567282
29509457.png,-0.00090559304
29509458.png,-0.0015283482
29509459.png,-0.0003532425
29509460.png,-0.00041189184
29509461.png,0.000917749
29509462.png,0.0030326755
29509463.png,0.0030663023
29509464.png,0.0033936477
29509465.png,0.0019272119
29509466.png,0.0039919876
29509467.png,0.003345706
29509468.png,0.0020467583
29509469.png,0.001264188
29509470.png,0.0033768388
29509471.png,0.0028751213
29509472.png,0.001445821
29509473.png,0.0009325119
29509474.png,-0.0033108077
29509475.png,-0.0016238595
29509476.png,-0.0017375316
29509477.png,0.0008657593
29509478.png,0.00059700944
29509479.png,0.002219718
29509480.png,0.0042418526
29509481.png,0.0026887036
29509482.png,0.001987535
29509483.png,0.0023375791
29509484.png,0.0018437807
29509485.png,0.00020177104
29509486.png,-0.0018411421
29509487.png,-0.0025199552
29509488.png,-0.0048497715
29509489.png,-0.0051330132
29509490.png,-0.0063246577
29509491.png,-0.00526046
29509492.png,-0.0045465347
29509493.png,-0.0039281086
29509494.png,-0.003714601
29509495.png,-0.002621974
29509496.png,-0.0028372854
29509497.png,-0.0034507387
29509498.png,-0.0056695146
29509499.png,-0.0066851294
29509500.png,-0.0069049713
29509501.png,-0.009033514
29509502.png,-0.011238954
29509503.png,-0.014209084
29509504.png,-0.01562915
29509505.png,-0.017899983
29509506.png,-0.019134915
29509507.png,-0.020483056
29509508.png,-0.020263905
29509509.png,-0.020082766
29509510.png,-0.022504415
29509511.png,-0.023992468
29509512.png,-0.026645318
29509513.png,-0.026786184
29509514.png,-0.028016632
29509515.png,-0.027301526
29509516.png,-0.026366254
29509517.png,-0.026328765
29509518.png,-0.027364064
29509519.png,-0.028129147
29509520.png,-0.028823255
29509521.png,-0.028729785
29509522.png,-0.030398339
29509523.png,-0.030296853
29509524.png,-0.03152933
29509525.png,-0.03163483
29509526.png,-0.03347078
29509527.png,-0.034933828
